iso_year,iso_week,week_start,district,cases
2025,24,2025-06-09,Jaffna,26
2025,24,2025-06-09,Kilinochchi,1
2025,24,2025-06-09,Mannar,3
2025,24,2025-06-09,Vavuniya,5
2025,24,2025-06-09,Mullaitivu,4
2025,24,2025-06-09,Batticaloa,59
2025,24,2025-06-09,Ampara,28
2025,24,2025-06-09,Trincomalee,40
2025,24,2025-06-09,Kurunegala,43
2025,24,2025-06-09,Puttalam,17
2025,24,2025-06-09,Anuradhapura,10
2025,24,2025-06-09,Polonnaruwa,15
2025,24,2025-06-09,Badulla,24
2025,24,2025-06-09,Monaragala,29
2025,24,2025-06-09,Ratnapura,172
2025,24,2025-06-09,Kegalle,54
2025,25,2025-06-16,Colombo,279
2025,25,2025-06-16,Gampaha,207
2025,25,2025-06-16,Kalutara,74
2025,25,2025-06-16,Kandy,118
2025,25,2025-06-16,Matale,17
2025,25,2025-06-16,Nuwara Eliya,17
2025,25,2025-06-16,Galle,44
2025,25,2025-06-16,Matara,70
2025,25,2025-06-16,Hambantota,15
2025,25,2025-06-16,Jaffna,25
2025,25,2025-06-16,Kilinochchi,2
2025,25,2025-06-16,Mannar,2
2025,25,2025-06-16,Vavuniya,2
2025,25,2025-06-16,Mullaitivu,2
2025,25,2025-06-16,Batticaloa,30
2025,25,2025-06-16,Ampara,11
2025,25,2025-06-16,Trincomalee,16
2025,25,2025-06-16,Kurunegala,68
2025,25,2025-06-16,Puttalam,10
2025,25,2025-06-16,Anuradhapura,7
2025,25,2025-06-16,Polonnaruwa,12
2025,25,2025-06-16,Badulla,24
2025,25,2025-06-16,Monaragala,26
2025,25,2025-06-16,Ratnapura,145
2025,25,2025-06-16,Kegalle,45
2025,26,2025-06-23,Colombo,316
2025,26,2025-06-23,Gampaha,217
2025,26,2025-06-23,Kalutara,62
2025,26,2025-06-23,Kandy,192
2025,26,2025-06-23,Matale,24
2025,26,2025-06-23,Nuwara Eliya,20
2025,26,2025-06-23,Galle,73
2025,26,2025-06-23,Matara,39
2025,26,2025-06-23,Hambantota,22
2025,26,2025-06-23,Jaffna,24
2025,26,2025-06-23,Kilinochchi,0
2025,26,2025-06-23,Mannar,4
2025,26,2025-06-23,Vavuniya,4
2025,26,2025-06-23,Mullaitivu,1
2025,26,2025-06-23,Batticaloa,40
2025,26,2025-06-23,Ampara,12
2025,26,2025-06-23,Trincomalee,16
2025,26,2025-06-23,Kurunegala,77
2025,26,2025-06-23,Puttalam,10
2025,26,2025-06-23,Anuradhapura,8
2025,26,2025-06-23,Polonnaruwa,21
2025,26,2025-06-23,Badulla,31
2025,26,2025-06-23,Monaragala,24
2025,26,2025-06-23,Ratnapura,118
2025,26,2025-06-23,Kegalle,48
2025,27,2025-06-30,Colombo,276
2025,27,2025-06-30,Gampaha,167
2025,27,2025-06-30,Kalutara,92
2025,27,2025-06-30,Kandy,161
2025,27,2025-06-30,Matale,23
2025,27,2025-06-30,Nuwara Eliya,6
2025,27,2025-06-30,Galle,79
2025,27,2025-06-30,Matara,58
2025,27,2025-06-30,Hambantota,21
2025,27,2025-06-30,Jaffna,12
2025,27,2025-06-30,Kilinochchi,1
2025,27,2025-06-30,Mannar,0
2025,27,2025-06-30,Vavuniya,3
2025,27,2025-06-30,Mullaitivu,3
2025,27,2025-06-30,Batticaloa,16
2025,27,2025-06-30,Ampara,12
2025,27,2025-06-30,Trincomalee,12
2025,27,2025-06-30,Kurunegala,70
2025,27,2025-06-30,Puttalam,7
2025,27,2025-06-30,Anuradhapura,17
